Name,Year,Count
PEPFOLD 3 [2016],2024,125
PEPFOLD 3 [2016],2023,139
PEPFOLD 3 [2016],2022,147
PEPFOLD 3 [2016],2021,132
PEPFOLD 3 [2016],2020,127
PEPFOLD 3 [2016],2019,67
PEPFOLD 3 [2016],2018,36
PEPFOLD 3 [2016],2017,28
PEPFOLD 3 [2016],2016,7
TrRosetta [2021],2024,172
TrRosetta [2021],2023,235
TrRosetta [2021],2022,373
TrRosetta [2021],2021,442
TrRosetta [2021],2020,123
ProFOLD [2021],2024,15
ProFOLD [2021],2023,16
ProFOLD [2021],2022,16
ProFOLD [2021],2021,16
AlphaFold 2 [2021],2024,10852
AlphaFold 2 [2021],2023,9721
AlphaFold 2 [2021],2022,6344
AlphaFold 2 [2021],2021,1113
APPTEST [2021],2024,10
APPTEST [2021],2023,12
APPTEST [2021],2022,9
APPTEST [2021],2021,4
tFold [2021/22/24],2024,5
tFold [2021/22/24],2023,10
tFold [2021/22/24],2022,11
tFold [2021/22/24],2021,5
RoseTTAFold [2021],2024,1327
RoseTTAFold [2021],2023,1404
RoseTTAFold [2021],2022,1275
RoseTTAFold [2021],2021,309
Omega-Fold [2022],2024,118
Omega-Fold [2022],2023,108
Omega-Fold [2022],2022,26
PEPFOLD 4 [2024],2024,36
PEPFOLD 4 [2024],2023,4
RoseTTAFold-AA [2024],2024,208
AlphaFold 3 [2024],2024,1643
PepFlow [2024],2024,1
Chai-1 [2024],2024,11
