Name,Year,Count
MULTICOM,2024,6
MULTICOM,2023,7
MULTICOM,2022,12
MULTICOM,2021,19
MULTICOM,2020,11
MULTICOM,2019,9
MULTICOM,2018,4
MULTICOM,2016,2
MULTICOM,2015,14
MULTICOM,2014,12
MULTICOM,2013,12
MULTICOM,2012,11
MULTICOM,2011,6
MULTICOM,2010,2
PEPFOLD 3,2024,125
PEPFOLD 3,2023,139
PEPFOLD 3,2022,147
PEPFOLD 3,2021,132
PEPFOLD 3,2020,127
PEPFOLD 3,2019,67
PEPFOLD 3,2018,36
PEPFOLD 3,2017,28
PEPFOLD 3,2016,7
RaptorX,2024,24
RaptorX,2023,48
RaptorX,2022,86
RaptorX,2021,137
RaptorX,2020,77
RaptorX,2019,22
DMPfold,2024,17
DMPfold,2023,20
DMPfold,2022,24
DMPfold,2021,76
DMPfold,2020,40
DMPfold,2019,4
AmoebaContact,2024,5
AmoebaContact,2023,4
AmoebaContact,2022,10
AmoebaContact,2021,15
AmoebaContact,2020,3
ProFOLD,2024,15
ProFOLD,2023,16
ProFOLD,2022,16
ProFOLD,2021,16
AlphaFold2,2024,10828
AlphaFold2,2023,9721
AlphaFold2,2022,6344
AlphaFold2,2021,1113
RoseTTAFold,2024,1197
RoseTTAFold,2023,1269
RoseTTAFold,2022,1117
RoseTTAFold,2021,298
APPTEST,2024,10
APPTEST,2023,12
APPTEST,2022,9
APPTEST,2021,4
tFold,2024,5
tFold,2023,10
tFold,2022,11
tFold,2021,5
TrRosetta,2024,171
TrRosetta,2023,173
TrRosetta,2022,119
TrRosetta,2021,1
Omega-Fold,2024,118
Omega-Fold,2023,108
Omega-Fold,2022,26
PEPFOLD 4,2024,36
PEPFOLD 4,2023,4
RoseTTA-Fold all atom,2024,208
AlphaFold3,2024,1630
PepFlow,2024,1
